category,cleaned_review_body
Positive,easy competitive transparent not like
Positive,always good service web site easy navigate interest rate competitive
Positive,great bank easy use fast service great interest rate
Positive,opened three account week three different period trickled deposit get feel operate problem transaction happened quickly app good problem bank nice one seems straighforward use looking forward maturity
Positive,interest rate fixed term really good simply took new fixed term existing one finished help got app excellent
Negative,tried save bank smartphone not not use computer
Positive,easily set fuss good rate interest friendly staff line need help
Positive,opened new saving account done minute simple add fund excellent interest could want
Positive,closed fixed saver account opened another fund going external account whole transaction carried quickly efficiently problem delay
Positive,quick easy set brilliant app good rate
Positive,competitive rate raised instant saver immediately boe base rate increased fixed term rate niggle cash parked instant saver not move directly fixed saver told move another bank move back atom earth necessary
Negative,customer atom year week opened fixed saver reinvest saving two day opening within deposit window interest rate changed atom not honour new rate deposit window closed would accept think rule unfair sadly last time atom shame really
Positive,great app great service super easy navigate hassle
Positive,great saving particularly instant access responsive nice app lately though rate become low competition monzo instant access example paying lot update rate changed today much competitive nice see reason not giving star rate took long change bank
Positive,saving atom easy great selection different account option view account time know money safe
Positive,easy set saving account step transferring monies account also simple matter
Positive,easy open account fix deposite rate good
Positive,opening account atom bank quick easy app made whole process far easier expected
Positive,easy use app good rate fuss
Neutral,went bond year ago stitched low rate within week two determined not rate continue rise waiting bank rate increase yet taking flier
Positive,quick efficient way open fixed saver really good rate
Positive,easy transaction everything straight forward would recommend
Positive,easy open quick frill good interest rate say tin
Positive,simple open account easy website navigate decent interest wish banking straightforward
Positive,easy open account use app
Positive,easy set track easy online transfer great rate
Positive,really easy set simple app navigate
Positive,easy use good return atom suggested financial advisor impressed
Positive,super simple process open account great use new tech securely verify identity cracking rate
Positive,simple easy great rate done phone
Positive,interest rate account chose good competitive extremely easy open account app great use impressed atom recommended sister law since account well
Positive,moving money lloyd santander hsbc atom lloyd bad decided close account hsbc dificult santander atom easy deal online without need help made atom top experience four ease finding appropriate information interest rate website
Positive,easy use app good range product decent rate interest
Positive,easy app use transfer seem highest fixed term problem first year
Positive,easy use nonsense log want
Positive,easy use website good rate interest account atom year never problem
Positive,everything easy straight forward would recommend friend sure
Positive,easy install use maintain transfer virtually instantaneous rate competitive
Positive,website easy use well clear print style simple clear language describe product proceed stage opening account website stable responded quickly almost seemed good true easy atom bank deal point true simple not direct interaction human team member point financial transfer notification quick occur
Positive,easy deal helpful staff
Positive,straightforward use app easy account move money
Positive,excellent website well laid user friendly atom seem everything right keep well informed investment
Positive,simple easy use highly recommend
Positive,entirely satisfied atom bank service convenient app interface helpful support assistant could not wish something
Positive,easy set android app took longer minute set not problem security bit top maybe couple check overall great experience
Positive,atom bank find extremely professional efficient account simple manage payment account actioned immediately extremely competitive interest rate communication always would thoroughly recommend
Positive,really nice easy use easy set open new account transfer fund easily current account new atom account good info product offer impressed like app
Positive,easy open set account great interest rate
Neutral,edited excellent app good customer service usually slow raise rate lagging behind competitor one best option considering hard nowadays find good customer support apps
Positive,ease reinvest atom breeze interest rate competitive would
Neutral,took day successfully open account two call customer service two email sending proof residence even though selected address drop menu not recognised halted application process worked way round answered credit check question correctly wait another day check completed account opened tell day window fund account great rate felt whole application process could simpler amended star review
Positive,opening fixed saver easy app simple use giving information need progress end end Positive saving experience
Positive,super easy atom online bank navigation easy customer service really helpful needed product also competitive
Positive,friendly feel app easy navigate excellent rate fixed account good communication lovely purple app
Neutral,everything good except transfer bank atom easy access transfer back atom fixed rate bond ridiculous
Positive,simple open account live chat assisted necessary interest rate much better high street bank account decade atom provides excellent service
Positive,easy set great app interest rate fixed term saver favourable definitely recommend
Positive,app easy use good saving rate
Positive,easy open account reminder fixed rate expire simple transfer new rate offered easy use
Positive,easy open super good comparable interest rate
Positive,efficient friendly customer service
Positive,quick secure set took little time worth
Positive,quite happy saving atom limit amount put account
Positive,excellent easy use app competitive interest rate quick online response need help
Positive,easy setup straight forward great interest rate want
Positive,quick easy transfer fund great app
Positive,opened instant saver recently app instruction user friendly even someone not tech savvy notification information received since great overall outstanding service would definitely recommend
Positive,not fault atom bank great place put saving excellent interest rate intuitive simple use app
Positive,easy open keep track account excellent communication great interest rate happy customer
Positive,straightforward investing easy understand
Positive,easy set deposit fund
Positive,reliable easy use online bank approaching maturity informed option really easy confirm choice really happy service received result reinvested recommended bank others
Positive,simple use quite competing rate
Positive,used atom several occasion app crisp easy use product competitive
Positive,website class leading backup phone durham reassuring sent money whole experience exactly say tin
Positive,saved atom bank year good interest rate easy open account operate worry placing money atom needed help helpful helping problem
Positive,difficulty transferring money bank atom phoned atom helpful unlike mine eventually able make transfer happy deal got
Positive,easy use banking app good rate interest easy open account move monies
Positive,used atom year ago satisfied viewing access saving via app decided use
Positive,easy use app good interest rate given fixed variable rate saving
Negative,simple change matured saver new one ask instruction confirm carried not happen took live chat phone call sort told many varying reason failure including fault please get act together reply state not split account confirmed would not open new account
Positive,quick easy set manage account
Positive,simple open account also nice see future interest payment
Positive,easy open account using app challenge getting faceid work probably user error anything else great rate fixed year account numerous reminder ensure fund deposited within required timeframe
Positive,month fixed saving account expire wrote plain english week beforehand explaining option process open new fixed rate account using proceeds old one straight forward interest rate paid atom product extremely competitive
Positive,easy set account problem would recommend
Positive,regular saver atom process transferring money really straightforward great online platform
Positive,advised use atom son could not pleased whole procedure downloading app transferring money simple atom bank certain age understand
Neutral,set great interest rate not bad much better option range product offered limited not quite used make payment becomes place hold money simply put think better interest rate account certainly not fastest raise rate not sure going
Positive,opened saving account atom seeing recommended martin interest rate app user friendly
Positive,account atom honestly say easiest bank deal minimum fuss easy transaction
Positive,decided open saving account good interest rate whole process simple could not happier thank atom
Positive,great simple set process got good rate return short term saving account
Positive,comparable interest rate easy account opening excellent app feature excellent customer service thank atom
Positive,straightforward apply atom instruction clear helpful felt confident choosing right place put money
Positive,good customer service easy use app
Positive,good online saving account process simple
Positive,easy set app good choice product
Neutral,easy open term deposit disappointed could not transfer fund direct atom instant saver account
Negative,terrible customer service live chat never raised complaint an email ignored time money not care not impressed
Positive,atom really easy set use
Positive,simple system user friendly good interest rate easy make contact query
Positive,used atom year easyto open access account
Positive,joined bank based review say far not disappointed easy use understand phoned customer service got straight though good service refreshing not hesitate simply download app explore without sighing not take look
Positive,ease use smooth transition
Positive,good service fair treatment customer
Positive,helpful quick app also good rate straight forward thanks
Positive,clear communication app importantly instantaneous fund transfer deposit withdrawal best class far
Positive,simple sometimes feel simple considering effort required bank open accumounts etc
Positive,easy set matter minute app great interest rate not fault
Positive,bank save money get excellent rate quick easy set easy understand well done atom
Positive,everything easy atom easy log application clear information guidance
Positive,easy use app good rate interest
Positive,recently renewed maturing fixed term deposit needed speak human couple time amazingly considering experience gout get entity time got someone within couple minute amazingly first person said would email back point actually rarely happens organisation well done atom
Positive,think atom great bank place saving also place mortgage whilst interest rate may not high compared others however nice way keep account safe choice either pin code selfie using voice
Positive,easy use clear easy transfer money chosen account
Positive,kept informed plenty time account going mature love app easy use complicated feature feel friendly even put money away month still like check easily love way calculate interest amount time opening account best thing really good interest rate well done atom
Positive,everything atom pretty self explanatory straightforward apart not able transfer fund involve third party not help transfer policy last time transferring spend lengthy time verifying transfer halifax branch well fraud atom transferral omit
Positive,make investing easy efficient web site good saving rate
Positive,generally good like face recognition log following account maturity could clearer ended opening follow account due unclear instruction
Positive,often best interest rate fixed saving everything really simple explained clearly without jargon easy make change like choosing maturity option get information
Positive,shopping around better saving account chose atom clarity policy alongside interest rate offer saving account also emailed customer support opening account ask question got reply next day app super simple easy use process opening instant saver account quick easy via mobile app payment saving account fast hassle far happy service received hope stay way
Positive,atom bank easy use used website easy follow good interest rate not fault
Positive,simple mobile app limited range product therefore easy choose interest rate seem best available comparing like like instant saver account must linked conventional bank account transfer done account simple work well
Positive,ease speed became aware excellent interestbrate opened account nice see least one bank passing decent investment rate
Positive,quite straightforward download app open account transfer fund reason not given five star not yet withdrawn money isa matures simple investing give star
Positive,gentleman spoke inform automatic response atom time automation considering one hour slower time seeed still winter time find something computer america initial tell certain part time east west america date experience check record rang put
Positive,opened atom account straight forward could take advantage saving account great interest rate
Positive,transferred fixed rate bond another maturity hassle
Positive,saving rate always good easy understand product totally hassle free reinvest withdraw fund end term
Positive,fuss dead easy good rate interest
Positive,setting new account super easy straight forward account set quickly process clear
Positive,looking account offering good interest rate saving putting research found atom following reading review decided happy application online simple quick painless information provided clear direct app responsive three way access pin facial voice recognition transfer nominated account practically instantanious view money interest paid easily accessible nice simple love
Positive,first account atom app spot managed keep background reading minimum feeling diligent rather ticking box not bad read
Positive,good communication easy open account although not always move fund account without using connected account
Positive,easy set work needed help support good
Positive,experience good far issue would good show interest earned per month app
Positive,atom easy deal efficient love app
Positive,easy quick open account setup app really straight forward simple use competitive interest rate
Positive,atom consistently provided good interest rate saving past year combined easily understood accessible line system managing
Positive,easy set new account app extremely user friendly straightforward prompt processing need visit branch lengthy meeting term clear concise easy understand jargon
Positive,first time saver quite apprehensive atom made easy understand simple navigate sure getting felt confident opening account
Positive,time opened account year problem whatsoever good interest rate thank
Positive,clear instruction quick set account
Positive,great rate app easy use display key information clearly
Positive,easy navigate information atom site query responded quickly politely service
Positive,easy open new fixed rate bond online system easy use also great interest rate
Positive,easiest account open deposit money returned result great competitive rate
Positive,saved atom several year happy continue efficient easy communicate app work well appropriate safeguard
Positive,app easy use excellent interest rate good communication
Positive,easy arrange simple software great communication competitive
Positive,good interest saving excellent communication app good
Positive,excellent prompt service
Positive,easy clear atom client tha past couple year find straight forward easy line question able get answered easily quickly would definitely recommend atom
Positive,simple use app clear language nice feature like seeing future predicted interested competitive rate saving
Positive,simple easy use access great rate fuss hassle free
Positive,great app easy use deposit withdrawal actioned recommend
Positive,simple set simple navigate appvery competitive rate instant transfer saving account
Positive,using app easy everything fingertip really competitive saving rate
Positive,bit trouble moving matured bond interest external account called help guided step step process extremely helpful advisor phone friendly patient wife sat beside phone speaker laugh deaf getting bit technophobe advisor said not excellent service
Negative,reply response way responding point calling not use not know send message saying new rate applied clarify mean something else blatant misrepresentationi saver maturing boe raised rate not sure whether open another fixed saver atom put rate got message atom say rate rise would applied new saver opened account put money guess not apply increase contacted fobbed usual term condition rubbish would not let close account either cooling period underhand disreputable opinion soon saver matures never use atom withdrew monies instant saver better rate elsewhere
Positive,opened new saving account atom third time previously site really easy navigate setting account straightforward full information given previously found communication information provided atom excellent end fixed saving term
Positive,using atom app easy
Positive,excellent app easy use interest rate good
Positive,good interest rate app easy use
Positive,always good interest rate easy deal online
Positive,brilliant app setting new account really easy excellent interest rate
Positive,easy set explained step needed promptly easily year old mum
Positive,love atom really easy use app let move money quickly plus competitive saving rate
Positive,submitted new build application monday offer tuesday outstanding start finish would recommend colleague
Positive,excellent website good rate interest hopefully bank not pop pay good return fixed rate bond
Positive,easy open account problem
Positive,really excellent website make task simple straightforward best rate saving market good reminder new product maturity etc brainer
Positive,easy set kept well informed set payment due easy manage app look good easy use
Positive,already hold account opening new one literally click button consistency high rate great communication recommend
Positive,secure easy manage
Positive,excellent company app simple follow easy quick instruction product available favourable interest rate would definitely recommend
Neutral,end result process primitive
Positive,really nervous putting money fixed saver found easy atom bank opening account straightforward everything feel safe secure communication excellent app easy navigate would definitely recommend
Positive,good app great user experience locked decent interest rate saving
Positive,really easy set not tried withdraw yet hopefully easy site easy navigate
Positive,must say little worried opening account nothing fear ease transfer ease saving happy
Positive,easy set new saving account app great
Positive,start finish process setting account efficient rewarding enjoyable knowing money safe earning good interest beneficial gave peace mind confidence trust atom bank money
Positive,atom bank make internet banking easy quick effective way managing account security feature seem efficient quick
Positive,atom bank delivered easy accessible way great experience far thanks
Positive,app user friendly rate always favourable
Positive,really helpful online account easy set new account view account history
Positive,tidy app quick easy use
Positive,sceptical investing money web based app never done needed worried interest paid bank account listed reinvested money new fixed saver everything done issue experienced definitely recommend atom
Positive,easy deposit money rate pretty good communication excellent
Positive,simple manage run smoothly app support great
Positive,easy set done minute amazing
Positive,brilliant swift efficient good interest rate love account
Positive,everything straight forward nothing class interest rate opening new account
Positive,easy set straight forward app
Positive,easy manage app hassle detail clearly explained great interest rate
Positive,atom instruction simple follow opening account transferring changing account helpful person talk need assistance
Positive,really easy set great saving rate
Positive,easy open account information useful saving rate competitive
Positive,constantly reminded closure date option choose also find website simple use
Positive,simple process regard security information required atom message received value money received account provider taking excessive amount time respond
Positive,atom bank great easy setup mobile keep upto date text message would already recommended atom family member daughter granddaughter account atom not fault
Positive,easy use app great interest rate happy atom experience
Positive,easy set use good option different way save good interest rate
Positive,great website easy use simple find deal want competitive interest rate
Positive,month saving account came end difficulty transferring fund line new account phoned atom lady helpful explained
Positive,simple use best rate around complete flexibility saving term lot voice protected recommended others great simple service phone
Positive,excellent interest rate fixed saver account instant money transfer connected account best encountered hope interest rate instant saver increase soon rival competitor
Negative,low interest rate smart saver longer competitive rate not change since march bank england interest rise not passed customer find really disappointing
Positive,accurate information user friendly website completed minute
Negative,transferred fund month fixed rate saving account atom bank need money urgently due unexpected visit bailiff demanding payment debt explained situation several time atom bank not bother help forced banking incompetent awful mobile banking app log around minute not not bother useless bank stay away cost money taken account reason
Positive,easiest ever process open account app clear instant transfer great security pleased interest rate definitely use
Positive,atom bank offer competitive interest rate app easy use
Positive,found whole process investing atom extremely easy app brilliant easy use comtact customer service extremely helpful bank worked like
Positive,simple easy straight forward banking come across competitive rate slick app experience
Positive,excellent service process easy even old timer like managed simple
Positive,second saving product atom bank easy set see brilliant interest well worth trying little nervous first not heard much atom bank glad went
Positive,simple secure process opening account
Positive,far found site easy navigate use friend persuaded open saving account atom bank excellent interest rate much trepidation gave trouble setting account
Positive,good interest saving account app easy use good experience round
Positive,find app really easy use fantastic real people end phone
Positive,easy open account calculator show exactly much interest earn dependent fund app easy use navigate
Positive,opened new fixed rate instant saving account via app easy use superb customer service department also offer competitive interest rate would highly recommend
Positive,great seamless onboarding journey app got many handy feature notification let know long got fund account particularly picked interest
Positive,invested company downloading app account opening process straight forward
Positive,really easy deal account app straightforward point jargon waffle
Positive,userfriendly efficient service good experience far banking concerned
Positive,excellent communication atom account transfer easily set top interest rate hopefully use atom
Positive,simple use website great interest rate bank good review set easy
Positive,competitive interest rate simple open account complaint far
Positive,easy set account like fact easily access fund need update saver rate applied immediately pleased product atom offer many varied account
Positive,good rate interest easy open account easy app use professional
Positive,excellent rate easy operate easy ask question
Positive,atom app intuitive easy understand offer competitive saving rate across board would highly recommend
Positive,easy account open feel money secure easy transfer money
Positive,easy open transfer
Positive,impressed atom bank opening saving account via app easy app work great us facial recognition messing password passcode text access account
Positive,user friendly simple use best rate could find account matured another atom account straight away say really
Positive,atom year needed speak change detail customer service second none answered phone quickly sorted detail promptly also one best interest rate market
Positive,easy use great rate offer
Positive,great line system easy use not fault atom
Positive,love atom offer great saving product note principally bank saving not current account offering easy access fixed term highly competitive ratesmy niggle not move fund instant saver fixed term need move external account fund resolved think would perfect
Positive,great saving rate length option user friendly app clear information product
Positive,simple easy interactive banking system third year invested fixed term saver rate good also opened standard saving account first time much better rate everyday bank offer
Positive,online account easy everything need fingertip security feature face voice work well phoned occasion got actual person quite quickly competitive interest rate bonus
Positive,easy open good app problem transferring monies
Positive,really easy use clear communication highly recommend
Positive,excellent experience year opened one year fixed deposit described explained time opening truly reality year end option provided take money reinvest decided reinvest due experience best app driven bank available convenient access bank day view account
Positive,easy use normally pay leading interest rate saver
Positive,easy open account app user friendly
Positive,simple good rate not like
Positive,easy well documented instruction app type account would like open easily input information set need may interest rate good would happily recommend atom account based experience
Positive,nice simple
Positive,coming end year fixed rate offer recommend company app easy use rate competitive fixed term wife account two year renewed year happy
Positive,atom app simple straightforward use information easy find informal simple english easy understand
Positive,find app easy use account atom bank number month get regular update find useful recommended atom bank friend
Positive,atom bank app really easy use good choice account easy set manage
Positive,app make managing account really easy
Positive,easy use app clearly explained product excellent rate interest not like
Positive,always find online banking complicated opening account atom straightforward
Positive,easy set good rate
Positive,would never heard atom bit worried would never see money recommended via martin lewis site went ahead everything simple easy follow excellent app pleased used atom save
Positive,really easy set saving account get mobile app
Positive,read atom bank decided invest year fixed term account rest easy downloaded atom bank app onto phone opened account deposited money easy access account phone app whole experience Positive one far
Positive,easy manage finance via atom account safe secure reliable excellent customer service
Positive,easy open good interest
Negative,disappointed bank wanted invest money short term investment page say quick everything online experience totally different could not verify account app reason given follows get information credit reference agency called transunion may want check detail hold check date may many reason not verified moved address recently not thick credit file may not electoral literally shocked indian origin living address two year worked national insurance number already account well known high street bank top wanted invest money not asking get money atom bank total waste time opinion not suggest anyone think investing registering app use face photo voice recorded time confirming identity requested delete data told atom bank hold information year never knew investing money could hard atom bank loss lost customer permanently not know many thousand people going share experience
Positive,realised not need high street bank safe secure banking
Positive,straight forward simple set account excellent interest rate
Positive,invested year fixed rate bond atom bank year row app simple use guide transaction unlikely event something try app not work always helpful person end phone help guide interest rate offered competitive
Positive,easy use app straight forward simple understand love interest forecast
Positive,easy apply account helpful customer service asked question easy understand information product suited best
Positive,great interse easy use
Positive,easy set great quick fantastic web site smart
Positive,easy efficient good interest rate offered
Positive,easy select clear information simple set rate not bad either
Positive,pleased account far
Positive,simple fast easy use easy understand acc info
Positive,rate fixed saver account seemed good
Positive,atom pay consistently good rate interest app work well payment account extremely quick one best saving provider round
Positive,easy set account high interest return perfect
Positive,great rate really easy set great app use said
Positive,far great happy interest rate app easy use
Positive,easy use atom app good saving rate would recommend
Positive,firstly platform easy use understand interest rate one thebest market
Positive,straightforward quick set easy app use
Positive,fairly easy set account saving interest competitive
Positive,app user friendly not complex first thought app information help make informed decision product use easy navigate area app allows enough time read important information plus using best form security protect money
Positive,really easy set account add fund app really useful see balance interest
Positive,really easy easy security option saving length great rate atom keep updated via app
Positive,straightforward open account managed quickly without problem
Positive,simple straightforward client centred good rate funky app
Positive,mortgage also saving account atom always easy deal open close account necessary
Positive,wanted month saving account competitive lewis money saving programme recommended interest rate also saving covered fcis easy set account transfer fund online
Positive,good saving bank great communication easy use app easy transfer money love best banking experience thanks
Positive,account quick set online banking app really easy simple navigate
Negative,april formally complained got money eventually returned sam clearly told want email yet computer system keep churning email account closed company continue endless incompetence
Positive,great rate easy set account
Positive,fixed saving easy opening new saving account also easy manage interest rate also competitive
Positive,able open account easily online could transfer money across see atom app money easy use best interest rate
Positive,straight forward online banking offering time best interest rate market would recommend anyone looking lock saving away
Positive,whole process opening account seamless easy quick
Positive,easy open accountwith click app account
Positive,simple efficient system use see exactly happening money
Positive,easy use app simple set account
Neutral,easy sign good product slow issue annual interest certificate completing tax return told would soon back april told would week may told arrive next week instead bank issued interest certificate long ago improve next year please
Positive,easy see product available simple select open used atom several year always leading product meet need
Positive,found process easy good rate saving
Positive,good interest rate month fixed saver
Positive,impressed account easy open app could not easier touch make simple yet safe give access account
Positive,process opening monitoring account activity straightforward easy use
Positive,user friendly bank supported robust security systemwho actually respond issue keep upto date well advance saving interest maturity
Positive,great service start simple easy use
Positive,app easy use setting first account could not easier
Positive,account easy set opened fixed term saving account reminded well advance due mature given clear option could money moving forward proved really easy open another fixed rate account good rate interest
Positive,interest rate highest product offered
Positive,extremely easy site use need help connect quickly
Positive,easy set clear term condition best rate interest
Positive,atom banking app easy use reliable communication layman language well done atom
Positive,easy set account instruction way around app nice clear bank transfer appear account swiftly
Positive,several saving account atom one come end always look atom first compare rate usually best rate available like fact many option choose starting month saver also easy set check used customer service contacted instantly also friendly helpful would not hesitate recommend atom really great company solid star
Positive,easy fast intuitive
Positive,simple easy use often best rate market
Positive,quick easy open regular saving account
Positive,quick easy open account competitive interest ratesand good app
Positive,opened fixed term saver could not chat facility advisor helpful app easy use definitely recommend
Positive,easy use app relevant transfer information easily understood
Positive,account easy set immediately easy try
Positive,brilliant app simple use fastest bank raise rate interest rise monthly interest good market leading rate fixed variable account banking simple well done atom
Positive,seamless procedure open saving done easily online advising clearly needed
Positive,really easy use app everything explained well simple
Positive,straight forward set easy access saving account use app like fact atom quick rate base rate go literally day definitely not say opened year fixed saver great keep eye account app
Neutral,decent product today still not provide tax statement every financial institution made information available week ago seen reply atom not good enough like file tax return early
Positive,happy invest due good interest rate offered customer service excellent transaction speedily completed
Positive,atom bank year great app good service
Negative,update shockingly bad company back previous review asked contact atom could raise complaint investigate affordability low investigation complete final response letter state due evidence pic house sold not sure allowed snoop evidence child actual dad kid bedroom house stay atom knew last mortgage called liar state appears kid live unhappy response involve ombudsman
Positive,fact atom quickly increase interest rate certain account bank england increase base rate main stream bank slower le also like choose fixed saver little month need money not wait two year rate also also like simplicity app
Positive,good product good rate one year fixed easy set online banking
Positive,chose atom lot investigation fixed rate came top easy set given timescale invest happy customer
Positive,friend mine advised create atom account atom seemed really convenient app io course liked fulfills need various translation recommend atom someone else
Positive,atom year far find online account easy use offer great rate saving
Positive,incredibly easy setup interface competitive rate interest new customer satisfied product please keep good service
Positive,love flexibility atom saving account choose month least two year often month never know around corner
Positive,interest rate good app excellent easy use
Positive,easy use use rate competitive transparent secure
Positive,really impressed easy open account great choice interest friendly recommen
Positive,simple use app safe way transfer money chosen account rate pretty good ability monthly interest exactly want
Positive,excellent interest easy set
Positive,easy set even old computer illiterate like
Positive,easy use app great interest rate
Positive,great bank simple use app good interest rate
Positive,wife opened atom account last year opened another one year found easy manage easy open course much better interest rate high street recommended atom parent also opened account today
Positive,quick easy process open account would recommend others
Positive,doubt best banking app ever used simple swift error free
Positive,atom app easy use problem opening account
Positive,really easy set easy account manage
Positive,easy use efficient service
Positive,easy straight forward set use
Positive,great saving rate simple open instant saver account excellent app
Positive,easy use line bank apps available iphones ipad access anywhere great interest rate money access time even better rate longer term account month account fantastic flexibility money transfer instant high street account move fund paying bill time like
Positive,easy access clear information quick easy open account
Positive,easy use app responsive support good interest rate overall superb
Positive,simple easy efficient chose bank atom
Positive,applied line everything account interested see work future look good
Positive,opened fix rate saving bond account almost one year ago never issue atom fact easy open new account fixed rate end month looking forward reinvesting atom say far better rate month ago keep excellent work atom
Positive,easy use app account clear see transaction confirmed immediately
Positive,atom bank recommended sister existing customer everything completed online process quick easy high level security
Positive,easy use app add money account ability interest paid separate bank account mean enjoy interest every month
Positive,month
Negative,not open account given reason assume not want deal passport case zero problem many bank support unhelpful rude
Positive,app clear whenever query online customer service good quick
Positive,easy set account line little slight glitch received reminder time deposit monies one account day set rang spoke someone helped assure order reminder would stop deadline expired
Positive,easy done app via easy step
Positive,excellent easy understand easy use service far good
Positive,pleased service received atom bank good simple use app whenever issue app atom customer service helpful understanding resolving issue straightaway highly recommended
Positive,app easy service excellent issue simple operate
Positive,great easy use app great rate interest
Positive,really slick process open saving account great rate app simple effective
Positive,second year investment atom excellent product great rate competitive market kept fully date investment progress app simple use feedback question asked promptly answered clear precise continue use future would definitely recommend product
Positive,easy straightforward set scheme member money completely important know atom not name would heard great interest rate reason chose
Positive,easy open account wanted interest rate excellent app simple use highly recommend
Positive,excellent round facial recognition great idea
Positive,although prefer not saving app atom bank app easy simple use also feel secure not problem far
Positive,far good easy set apps really easy use
Positive,well thought app smooth signing process clear normal transfer absolute best rate found still exceptionally good already recommended others found great
Positive,really easy straight forward open new saving account great interest rate
Positive,opened instant saver month fixed rate account easy importantly good interest rate long rate remain competitive stay atom
Positive,atom good keeping date interest rate time letting know much interest get
Positive,easy open online account great rate interest happy
Positive,easy set account soon transferred fund account email atom confirm transaction
Positive,fine onboarding worked pretty well simple enough process connect send fund early day far good
Positive,surprised easy invest competitive year bond
Positive,quick easy set account good interest rate
Positive,atom provide best interest rate available easy open access account excellent app also provide brilliant support required not fault atom bank
Positive,gave straight forward year great
Positive,far seem opened year fixed jury setting account like want confirm validity account set want transfer make sure read fine print minimum deposit may not low case depositing large sum sort problem realised minimum went swimmingly
Positive,account simple set security question gave sense confidence bank
Positive,really easy open account great app great rate could ask highly recommended
Positive,openned saving account fixed rate month atom offered best rate saving matured still kept atom find atom easy deal keep informed time app easy use information hand
Positive,good interest rate self explanatory site easy use face voice recognition log number remember everything simple
Positive,easy set account easy use app
Positive,great bank easy use competitive interest rate using year one glitch sorted quickly
Positive,easy set account make deposit great customer service via live chat great interest rate
Negative,app glitch trying get support key pad not open allow comment posted faq useless nothing work asking question unable start month fixed saver show month plan not show internet advertised saving plan app giving
Positive,great service atom today enquiring tax certificate robbie dealt query promptly find app product great would highly recommend wish would current account credit card
Positive,hassle experience able open cash isa minute
Positive,easy use app nice simply layout instruction good interest rate pleased service
Positive,atom bank web page easy use clear instruction second fixed deposit investment made pleased atom competitive interest rate
Positive,super easy process open account followed really helpful window deposit money also love app
Positive,opened fixed saver last one matured whole process easy also easy access account easy moving money current account breeze app always open problem would thoroughly recommend
Positive,really good easy use good rate
Positive,easy navigate site wanted wicked
Positive,like atom lot comms make feel like talking real person easy navigate user friendly app
Positive,straight forward banking app easy use good interest rate
Positive,easy set good clear instruction navigating site
Positive,helpful went step step
Positive,easy also best place found small saving
Positive,simple easy use not wait long queue speak assistance
Positive,account opening via app pretty straightforward long knowledge credit history download credit reference report able answer question correctly took attempt
Positive,interest rate good login account straight forward moving money easy
Positive,communication regarding maturity previous account clear straightforward reopening account well transfer money efficient
Positive,easy arrange efficient app atom always let know going
Positive,atom nothing short perfect since opened first account initial setup time consuming annoying actual account fast open easy use really clear see account status information like interest etc recommended several friend love
Positive,simpleso easyso quick need
Positive,help adviser got muddle online could not helpful
Positive,setup app simplicity use fantastic atom bank exactly say interest paid day completion bank account choice option reinvest take money also easy select problem ever highly recommend especially rate also good
Positive,amazing easy use manage finance highly recommend
Positive,atom bank app easy use give choice instant access notice account month great rate interest transfer nominated current bank account instant either way delay waiting bank apps use atom favourite easy use trustworthy
Positive,update last review log using fingerprint still not delete connected bank longer use
Positive,slick easy work every time way app opened fixed rate saver min
