Name,Rating,Review Title,Review Text
Helena Michaelides,4,It’s taken 2 weeks to open an account…,"It’s taken 2 weeks to open an account in which I think it was longer than normal but they made up for it with the service and help they provided, I gladly recommend this Bank and their website which is very easy to use."
Yesim,5,Great bank,Great bank. The app is so easy to use. Also Atom have great rates.
Gilly,5,A great App,It's a great App. So easy to open an account and manage. Great Customer service and interest rates. Would highly recommend to my friends and family
Dianne Livingstone,5,Simple and secure,Simple and secure. Straightforward experience.
Edith Thompson,5,new account,No problems opening my new account
Wesley Jon Norris,5,Really easy to set up ..excellent rates…,Really easy to set up ..excellent rates of interest with an easy saver or a range of fixed savers to suit all..simple and easy to navigate and nice clear user face...a long running very trustworthy British bank
Frank Dewhurst,5,The app makes it simple,The app makes it simple to deal with Atom. Unlike the high street banks they are not using legacy systems but are a modern bank that knows how to make things work.
customer,5,Hassle free,"Hassle free, clear instructions very simple process highly recommend"
Mr Hartup,5,Excellent app,Excellent app. Fast and very easy to use - the best I have on my device! Rates always competitive.
Mr Salisbury,5,It is very simple to use,Very simple to use
Luc  Mourier Cooper,5,Straightforward and helpful!,"Atom bank is a great app, it is intuitive and makes everything very easy to understand. Using the app is straightforward and stress free! A wonderful bank!"
MR MICHAEL CURLING,5,The easy way to open the account and…,The easy way to open the account and checks were very quick and setting up the transfer accounts was easy and transactions very fast
Doug  Main,5,A great place to save,"Being of a certain age with a relatively small amount of capital which is not required immediately I decided to lock the funds away for 12 months and Atom Bank had all the required facilities available, ease of opening with great security attached and very competitive returns. Thank you very much."
Steven Lockwood,5,My go to Bank for savings,"My go to Bank for savings, they have always offered the best saving rates, very simple App to use, long standing customer, safe place to leave your money."
Michael,4,All OK,"Well its early days yet, but so far so good."
Charles,5,Easy to use app,"Easy to use app, straightforward and competative products"
Consumer,5,They are clear communicators and do…,They are clear communicators and do what they promise.
Steven Ferris,5,Great easy internet bank.…,Great easy bank to deal with with great interest rates. Also good customer service if needed but only had to use once due to ease of app and use of.
Eliot Chan,5,"Easy Atom Accounts opening, great Hotline","I have opened an Atom Instant Saver account and an Atom Fixed Saver account this week via phone apps. The processing all the way was so easy and time-saving. The further information provided along with the two accounts opening was very useful. I also called the hotline with a question. No phone waiting time and my questions were answered precisely IN HUMAN. Before going into the interest-receiving part which is not yet happening, I am very satisfied."
Paul,5,Refreshingly straightforward and easy to open an account,"I found the process of applying for a new account - including identity verification - refreshingly straightforward and easy to complete.  Payment into the new account was easy and reassuring as Confirmation of Payee details were available immediately, and the amount credited to my account without delay.  I had been wary of the idea of a savings account that could only be operated through an app, but the ease of use of the app soon won me over and I'm pleased that I chose Atom Bank for a cash investment."
Mawf,5,Couldn't be more simple,"Couldn't be more simple. App is very secure and VERY well designed, superb."
Iain Duff,5,Simple saving with competitive rates,Banking made easy with a user friendly app.  Clear explanations of all content and excellent communication throughout.
Mr Matthew,5,simple easy to set up and kept informed…,simple easy to set up and kept informed of the progress. The future of banking is here
Sarah,5,Was looking for a good rate interest…,Was looking for a good rate of interest and a company regulated by FSCS.  The account was so simple to open and I am able to access my information via the app anytime.
John Schofield,5,"User friendly, quick and easy","It was very easy to open the account through the app and the app is user friendly, clear, quick and easy. No messing about."
L C,5,Easy,"Easy, convenient, excellent service"
C Moore,5,Easy,"Easy, simple, hassle free, I deposit, forget for a year or 2, they invest & send it back with interest. Happy Days"
Joy Jones,5,So easy to open an account and best…,So easy to open an account and best rates. Great communication!
Emily Stephens-Mainwaring,5,Simple App to navigate,"Simple App to navigate, offer great interest rates. 👍"
John coleman,5,Easy to open account,"Easy to open account, easy to check accounts. Great interest rates."
David Smith,5,Comfortable!,Excellent after service Thankyou’
Jeff Brown,5,Account Opening Process,"Just opened a six month fixed rate saver. Account opening process really straight forward and the rate is good.  Very pleased with the process with only one slight niggle in that I had to transfer funds out of my existing account into my bank account and then back into my new fixed rate account, instead of being able to complete an internal transfer. I do understand this process is being developed."
Paul J,3,I am in the process of trying to open a…,I am in the process of trying to open a fixed bond account. I recently change my address and this is causing all kinds of problems. However with the building society and other bank account I also recently opened I had no such issues. When I called the atom bank they simply referred me to transunion. I have done this twice and they are extremely slow. Two weeks later and I'm still waiting to deposit because my application keeps stalling on the new address details despite the fact that all notifications of address change to all organisations have been carried out including the electoral roll! How complicated does it have to be? I hope this is not a sign of things to come.
Eamon Duffy,5,Does what it says in the tin,
Paul,5,Simple,"Simple, clear, straightforward."
Linda,5,Great online bank,Atom Bank has top interest rates. Everything is done by the app which is very easy to use. You can see all your transactions on the app. Would recommend.
customer,5,Quick and easy to open account,Quick and easy to open account. Instructions simple for a first timer.
KKat,1,My 18 year old tried to open a fixed…,"My 18 year old tried to open a fixed rate 1 year savings account but his identity could not be verified. Rang customer services they have no idea why and suggested he tried "" at a later date"". Very frustrating he has the money sitting in an account ready to transfer but Atom bank are incapable of giving a solution to verify his identity..."
Gary N,1,Don't want to take my money - forced back to the high street,"My wife  managed to set up account  via app after face recognition glitch (affecting everyone)  to  then find ' identity can not be verified'. Very friendly and sympathetic chap on their helpline explained problem was lack of credit history. That is because  despite having lived at same address for 25 years and nearly paid off (joint)mortgage, plus having a traditional bank account and being a tax payer,  with no credit card or any loans at all she will have a poor credit history. Eh? don't want to borrow money she wants to DEPOSIT a lump sum  recently inherited. Ah well - driven back to the traditional banks by innovative bank... that doesn't want to take the  money....crazy"
Ruth,5,ATOM IS GOOD,"I was apprehensive at the beginning to open an app based savings account. now a few years later I have several accounts. Their easy access savings is amazing, it is super fast. The whole app is so easy to use.  I have needed assistance and again none of this ""we are so busy - your'e custom is important to us"" waiting malarky - they are really brill.  A quality so rare these days."
Sarah O’Neil,5,Great online banking experience,"Competitive rates and very easy to set up. Accessible, secure and easy to navigate online platform. Regular updates on the product, customer options and interest gained."
nigel robinson,5,Great fixed term savings rates and easy…,Great fixed term savings rates and easy to set up with a great easy to use app to control your account
Angela henry,4,Very happy with my account,"Very happy with my account, easy to spend with the card"
MRSANNO'NEILL,5,easy to register.easy to follow…,easy to register.easy to follow instructions
C REID,2,I started an application and then had…,"I started an application and then had to wait for clearance I suppose but was told this wouldn't take long and then I'd be able to transfer funds in. Except I didn't get notification and after repeatedly trying and then contacting Atom I was told to recheck my account.  I had to make further calls and""chat"" to someone before eventually being given account details to transfer money in. Not a smooth and simple way if opening an account and I'd warn any one to think twice  before going ahead.  If I have any trouble withdrawing my money there'll be trouble."
Neville Taylor,1,Diss-satisfaction with Atom Bank…,"Having re newed my recently matured fixed rate bond with ATOM BANK on 25 February 2023 at 4.2% I assumed that I would have a 15 day cooling off period as is the policy with all your competitors. During this cooling off period your rates increased to 4.3%.I rang your bank to arrange for my fixed rate bond to be increased to 4,3% but was told that this could not be done.Please will you therefore re_consider my upgrade request in line with your competitors. TRUSTING FOR A FAVOURABLE REPLY"
Mr Raymond O'Connell,5,Highly recommended,Simple and straightforward process. Easy to navigate app and good communication from Atom.
A .A,5,Good Online Bank,"Easy to use, no hassle App, Good Interest Rates, good communication from Atom."
Mike,5,The app was really easy to use and…,The app was really easy to use and money transfers were ultra fast.
Paul Watson,5,Great bank,"Great app, very easy account opening process, almost instant transfer of funds into my Atom account, and the bank offers competitive interest rates. And I like the fact it's based in Durham, not London."
Arthur,5,Savings,I have used Atom for years with my saving and never had a problem.
Christine,4,Great app,Great app - nice and simple and clear to use. Instructions again were nice and clear and simple. I have adult ADHD - and so find a well designed app makes life less stressful.
J.W.,5,"Great, easy to use App",I have been with Atom over a year now. The app is great and easy to use. After a very stressful time helping a friend to renew her one year fixed bond with a different bank I was amazed how easy Atom made the process when it was my time. Interest rates providing I won't be looking elsewhere
Peter Cannell,5,Simple to set up and pay money in,
Friend of Ted,5,Fabulous service,"Fabulous service, had to call customer services to change my address, quick and painless service, didn’t wait on hold for ever, effortlessly sorted in a couple of minutes.  Then used the online chat a few days later to obtain an ad hoc statement, again, super fast & efficient.  Have used Atom years ago and this is my 3rd account, would definitely use again, cannot fault."
Susan Ashton,5,It is very simple to invest and very…,It is very simple to invest and very easy to keep an eye on you accounts with no papers to file.
Elaine Horncastle,5,This company were very helpful and easy to deal with.,This company were very helpful and easy to deal with. I opened a savings account with them as I wasn't getting good interest with my high street bank. Everything went smoothly with no problems at all.
"John, Murray",4,Simple to set up initially,Simple to set up initially. Easy to add savings to newer offerings. Easy to use App.
Jane,5,Excellent App and interest rates,"Excellent App, easy to use. Recommended on Money Saving Expert website. Great interest rates on savings accounts, even on Instant Saver.Recommended."
Kay,5,My Atom bank account was so easy to set…,My Atom bank account was so easy to set up.
Julie Parfitt,5,Great rates and easy application…,Great rates and easy application process.  Immediate account numbers and ability to pay funds into savings accounts. Totally recommend Atom Bank.
Marian Donnelly,5,Have used Atom bank before,Have used Atom bank before. App very easy to navigate. Jargon easily understood. Annual saving rate very good.
Margaret Lynn Dawes,5,Very clear and concise information on…,Very clear and concise information on the choice of accounts.
Jess,5,Attractive interest rates,Easy to use online site and alway have competitive rates of interest. Emails from them when a term is due to end.
James,5,Simple to use website registration…,Simple to use website registration process quick and easy and good rates
David Lambe,5,Excellent fast efficient modern…,Excellent fast efficient modern banking. A competitive savings rate and fast response to any queries
Dennis Renshall,5,Easy to setup the account and also to…,Easy to setup the account and also to access.very please I joined.
Rob Allen,5,Excellent bank,"Excellent bank, easy to set up and manage my account on the app and currently some good fixed rate savings."
Steve Brown,5,So easy to set up an account and use…,So easy to set up an account and use the App !
Tracy,5,Opening a fixed rate bond was very…,Opening a fixed rate bond was very quick and simple to do through the app. Atom interest rates are consistently at the top of the tables.
Michael,4,Happy customer,All went very smoothly.
Chris  Williams,5,Very easy to understand and set up,Very easy to understand and set up. Competitive savings product
Sheila Lawton,5,Excellent Service,Excellent service and so easy to set up an account.
Angela Witham-Gardiner,5,Good interest rates and easy process,Atom was offering good interest rates when I was first looking for a fixed term savings account.  The money was reinvested with Atom again as it was a very simple process to open the account and add the money.  You get a projection of each months interest being added and notification towards the end of the term so you are able to decide whether to reinvest with them or any alternative.  They did not sent random emails. Which in my view is good!
Family of four,4,Easy process,"Easy to open the account.  Concerned that I didn't have  to provide ID, but guess as linked to another account that this is available via them?  Maybe clarify this in the process?"
Peter McCluskey,5,the easiest app ever to use and you can…,the easiest app ever to use and you can speak to a PERSON easily if required and good return rates.i'm a return customer
Ian Pitchford,5,Good rates,"Easy-to-use app and good interest rates, especially on fixed-term savings."
Steve,3,It’s a bank,"It’s a bank, it does banking !!"
Alison McSherry,5,Very straight forward and easy to open,Very straight forward and easy to open. Access to accounts simple and regular messages from Atom make it all very clear. I have three accounts now which all pay a generous interest rate.
CustomerSusan King,5,Very straight forward to use Atom .,Very straight forward to use Atom .Always easy to access.When I rang to speak to someone it was very quick to get through.All very efficient.
amir  khan,5,So simple,"So simple, really liked the multiple means of authenticating and wish I had done it earlier."
Jan,5,Had a savings account online for a few…,"Had a savings account online for a few years. No problems at all, very easy and straightforward app. Kept informed re my savings and I feel my account is 100% secure"
Suzanne Wolfe,5,Really easy to navigate,Really easy to navigate.  Tone of app was positive and friendly.
Patrick,5,Easy high interest,"Very easy account to set up through a highly professional and simple to navigate app. Probably the easiest to use banking app that I have encountered. And, hey, the great interest rates help too!"
Danny,5,Easy with Atom,Always easy to operate the account and do what I want online
Sheila Hill,5,Great competitive rates and easy account set-up process,Great rates and easy to set up accounts
Daimean Graham,5,Good morning dance to everyone who…,Good morning dance to everyone who supported me daimean enterprise help him he's a good lad trying to make everything work the right way god bless you
June Oapos;NEIL,5,My first experience with the company…,"My first experience with the company and found it to be very smooth, easy to set up an account."
An anony mouse,1,"Trying to open an account, ridiculous photoID does not work.","Trying to open an account, get to the point it wants to photo your face. ""the lighting isn't right"" ""spoof detected"" ""we can't see your face"". I was in a well lit room, had my face perfectly within the circle at all times and it would not proceed, trying for over 10 minutes. Eventually gave up."
Mr Mike  Whittaker,5,This is my first experience using an…,This is my first experience using an online Bank encouraged by my Son. I have found the process easyand professional. I hope to build my involvement with Atom.
Joseph Caprani,5,Easy process to open a new account,"Easy process to open a new account, but also satisfyingly secure. 1st interest payments have come though as well - all good and pleased to be getting a decent rate."
Milan Forsberg,1,My house got bombed,
Pete,5,If only all banks had this level of…,"If only all banks had this level of simplicity and online interface. Straightforward, easy to understand, clear. All the info you need at your fingertips. It's, honestly, a fantastic experience..."
Mike,5,"Great bank,apart from tech department","Opened a fixed rate bond with atom bank because of very attractive rates.Found the process very simple and away i went.Then the other day i changed my phone so had to swap over to the new phone.very simple in theory.But when i went to change it it wouldn't read my face I.D.So i had to call customer services,very impressed when a very pleasant girl answered within 30 seconds unlike some other banks that leave you hanging on for nearly an hour.Now the issue.The girl said unfortunately i can't help you, which i thought fair enough, so i'll have to hand you over to our tech department who will phone you back in a couple of days.It been over a week now and still nothing.Thankfully i managed to sort the issue out by going on google,but i would have been more than a little upset if hadn't been able to access my account.Apart from that i'm very pleased with the whole atom experience."
Ian Rose,5,Downloaded the app and in a few minutes…,"Downloaded the app and in a few minutes had opened an account with Atom, really easy to do with no issues, my money is in a 12 month bond so can’t comment on that yet but decent interest rate.  So far so good"
Lynne,5,Easy to use,Easy to use. Excellent customer service
James Green,2,Unable to set up an account,"I tried setting up an account, entering all my details, and the app said it couldn't do so. I tried again, and it just returned me to the main page with the same error message. I've lived in the same address for 30 years, have multiple bank accounts, a stocks and shares account, multiple savings accounts, and a good credit score. So I find it a bit irritating that Atom bank's app gave up so easily - apparently they only have one method for verifying who you are?Customer service was prompt, but unhelpful, saying that there's nothing they can do. I just find it odd that they have such a myopic way of verifying identity, and which no other bank/savings account has struggled with before.So I'll be taking my savings elsewhere.The app was otherwise pretty snappy, although I hate doing voice/facial recognition. And also not being able to log in through a browser is problematic - what if you lose your phone, or the app becomes incompatible with your OS - a browser portal should always be an available option."
Heather McMillan,5,So far it’s been very easy to set up…,"So far it’s been very easy to set up account and use app, savings rates are competitive."
Neal,1,Account was not what I thought was.,
Scott,5,Excellent rates & service from a UK bank,"The savings interest rates are consistently excellent. I like that they don’t keep launching products then the minute you turn your back they lower the rate!The app is much easier to use than logging into a website. I also love that they are a UK bank paying tax in the UK, supporting our economy."
Tom Caldwell,5,Highly Recommended.The account was easy to set up and has…,The account was easy to set up and has a very user friendly interface. Atom bank are able to offer a very good rate of interest on their fixed rate savings and I wouldn’t hesitate to recommend.
peter,5,Good investment …,Made things easy to do follow the instructions and everything was good would recommend to anyone
Jay Redfield,1,Not what it says on the tin!!!,"Very poor service, wouldn't trust the 4.8 score if my experience was anything to go by."
Nick Brookwell,5,So far so good,"So far so good, App is easy to use and quick, payments in and out are easy and quick, this bank seems to care about customers also unlike Chase Bank  my last savings account who are a disgrace in every aspect, Atom Bank are a breath of fresh air!!!!! Use them with confidence."
Mark Wellby,5,STRAIGHTFORWARD TO OPEN AN ACCOUNT,"STRAIGHTFORWARD TO OPEN AN ACCOUNT, CLEAR INSTRUCTIONS AND GOOD COMMUNICATION."
Graham Elsey,5,Was going to go with Smart Save &…,"Was going to go with Smart Save & eventually got account set up, read reviews & realised no app so changed my mind, settled for Atom at .2 of a % less interest, negligible unless you’re a millionaire, & set up Atom account seamlessly, easy to use App & good reviews, very happy"
Andrew Croft,5,Banking Without Hassle.,"It was extremely easy to open an account. The interest rate was competitive, and on the occasion when I needed to check a fact it was a breeze to communicate directly with a ‘real’ person who was knowledgeable, polite and had a sense of humour."
stephen evans,5,Easy to set up an account and use.,
Catherine Boyd,4,Despite a frustrating start due to…,"Despite a frustrating start due to electoral roll issues, Ease of set up is excellent provided you have your security ducks in a row and are who you say you are.  I was reassured by the fact that for some things I had to phone in to do. The app is really very user friendly and customer service agents polite and professional."
Robert,5,Opening a 1 year bond,Simple and straight forward to open an account which suited me at one of the best rates around.
Mrs Wilkinson,5,Phone answered within minutes,Phone answered within minutes! Friendly knowledgeable voice ! That’s all we want.
Jim Borland,5,Absolute simple to set up and arrange.,Absolute simple to set up and arrange.Fantastic interest rates for our investments plus easy to decide on interest and either fixed or flexible accounts.
CaroleC,5,It’s just so simple to use,It’s just so simple to use. And the rates are always top or near the top of the Best Buy tables
Nigel,5,It was an easy and smooth experience…,It was an easy and smooth experience opening the account and no problem moving money around.Excellent.
brian williams,5,Simple format to use and good rates of…good friendly Internet site and easy to use,Simple format to use and good rates of return
Dawn Edwards,5,Good rates of interest paying on these…,Good rates of interest paying on these savings 6 month or 12 month . So not too long g before you see good results
DMc,5,Atom came out on top 👍.,Needed a good competitive return on my savings AND a platform that was easy to operate. Atom came out on top 👍
"Angela Taylor,",5,Easy to use App and great products.,
Mel,5,The process was quick and easy.,
Gary Kelly,5,Very easy to set-up my new account…,Very easy to set-up my new account and quick transfers in. Very happy with the Atom app!
Denise Butler,5,Very easy to contact and very helpful,"Very easy to contact and very helpful, not hanging on the telephone listening to music for hours.Accounts are easy to set up too, and rates of interest are good."
David Reilly,5,My brother and sister opened an account and said…,My brother opened an account and said the interest was good so I put money in very easy app to use straight forward
Gillian Spiers,5,The whole app is easy to use.,The whole app is easy to use and navigate through.Good interest rates and enough choice of savings account.
Christine Clarke,5,First time for me to download a banking…,First time for me to download a banking app and as a septuagenarian always a little wary of such modern technology. I must say what an easy set-up to download. Do not be afraid.
richard panting,4,The app is easy to use and when my…,The app is easy to use and when my account was coming up for renewal they have me plenty of notice and told me about the options available In plain English
Alan Smith,5,Very easy and straightforward to do…,Very easy and straightforward to do business with.
Richard Morley,5,"Easy, clear and fair.",I have invested with Atom for some time.The products are clear and the interest rate very competitive. The app is really easy to use and secure.Renewal of investments are easy and well explained.
LM,5,An easy to navigate mobile app,"An easy to navigate mobile app, so very easy to open a new account."
Valerie Sturgeon,5,As a Senior Technophobe I dread…,As a Senior Technophobe I dread changing bank accounts etc My daughter recommended Atom & said she would help me .I was very pleased to be able to say I’d joined Atom without any problems when she arrived.
Fiona Conway,5,Really easy to set up an account,Really easy to set up an account - took minutes & very straight forward & easy to follow steps. I was initially sceptical about accounts on an app but it could not have been easier. I tried a high street bank app & it was a nightmare - atom have nailed it!
Liam,5,Pretty easy to setup,"Pretty easy to setup, with a minimum of £50 and can choose the length of time from 6 month's all the way to 5 year's. You have a deposit window which opens on the date you open the account, then closes a week later untill the next month's deposit window opens. Overall happy with this bank and app so far"
David,5,Really easy to use,Atom Bank is competitive and - using the app - is really easy to navigate.
LW,5,Easy to use app,Easy to open account and easy to use app. Happy with it so far.
Angela Reed,5,straight forward banking,Open 2 accounts- straight forward and easy to set up. I like that I get alerts as soon as money is transferred.
Dan Atkinson,5,Quick and Easy,"Very simple process, download app, fill in details, transfer money and get some great savings rates."
Cameron Adam,4,User friendly website,User friendly website. Good interest rates.
Caroline,5,Easy to use- especially as I’m alway…,Easy to use- especially as I’m alway nervous about having so much online
Steve,5,Informative and easy to use app,Informative and easy to use app. 7 days to transfer total money or multiple amounts of money into the account.
paul brixey,5,Excellent Company and great,"Excellent Company and great, easy to use website."
Terry Cross,5,Excellent,"Excellent, user friendly app. No fuss ."
Valerie Rushton,5,Clear simple instructions to open…,Clear simple instructions to open account.
Mr Richard Brown,5,Superb online bank who offer great…,Superb online bank who offer great rates for savings - easily able to be contacted and never ever had any issues with the app or contactingCustomer services Highly recommend
andrew crabtree,5,Simple and straightforward,
Hilary Bailey,5,Very easy to sat up the account on my…,"Very easy to sat up the account on my phone , Also a better return on my money than I was being offered by any banks"
Anne Mckimmie,5,Atom,The atom app is very easy to use.
Aliye Bullock,5,Future bank,"I highly recommend ATOM bank ,good communication skills,  regular updates ,puts customers first ,biometrics to suit individually ,won't disapoint,also great rates ,most important to everyone !!"
Mike Colloff,5,Everything is online,"Everything is online, App is clear and easy to use.Interest rates are good.Everything in one place."
Louis Gibbons,5,Great app very user friendly,Great app very user friendly. Well thought out. Designed by humans for humans
Samantha Jones,5,saver,Really easy to switch to new saver. However as I only use app infrequently and the app requires a passcode on handset it’s a pain to use app as I hate passcode on my phone and I deleted it. If you delete then you have to reset app and it’s long.
Rod Cornwall,5,Very user friendly and easy to use.,
Nicola,5,Very simple set up,"It’s very easy to understand the app and to set up my account, plus the interest rates as te really good too."
Lois Parkinson,5,The website is very well constructed,"The website is very well constructed, simple to use, everything explained well.The rates are competitive."
Sheila Edwards,5,Great account,Great account easy to open and fab interest rate. Have locked my savings away for a year so hopefully all will be good when it’s time to take my savings out
"June, Aberdeenshire",5,Brilliant Atom …,From downloading App to completing registration and creating an account I found the whole thing seamless and a dream to use. Very clear step by step instructions
Leslie,5,Happy Atom client.,"I've used Atom Bank for a few accounts now and really happy with the service, the app is excellent and the rates they offer are very good for savings."
Krishna,5,I love banking with Atom,I love banking with Atom! I have been with them for a good 5 years now and it is really easy to use.The app is simple and if you're looking for long term savings this is the place!I am hoping they now diverse into current accounts as I would happily bank with them :)
Lorna Brown,5,Great easy to use app with brill interest rate,"Been using Atom for a few months now, find the app easy to use. The choice of savings accounts & brilliant interest rates are ideal for me as a small regular saver"
Philip Sewell,5,Easy to use App,"Easy to use application, good comms on savings choices, easy to set up, good to best rates. Have used Atom for several years now, simples!"
Michael Brown,5,"App is easy to use, Service Super Helpful",App is easy to use but when i got a bit confused I called them.  they were super helpful and nice to deal with
Samuel Lincon,4,Great customer services and services in…,Great customer services and services in general!
Michael Li,4,Easy to use and secure.,
Liz,5,Easy to use online banking,I have had a fixed term savings account for 3 years. Very easy to set up and use and just as easy to manage on maturity. Good interest rates mean I will keep my money with them.
Pedro,5,Ease savings of use and great interest rates.,Ease of use and great interest rates.
Richard,5,Exceptionally easy and best rates around,
Paul,5,Mighty Atom,Offering virtually the best rate of interest.Very easy process
Simon Palmer,5,They keep it simple.,They keep it simple.And I can talk to them easily. And good rates.
Christopher Statham,5,Fixed rate interest account,"The account was simple to set up, just follow the instructions and it’s done in minutes. It couldn’t be easier and tge online chat service is there if you need them."
Mrs       Cooper,5,Simple application process and funds…,Simple application process and funds moved instantly.
Bruce McLaren,5,Seamless experience.Everything is good.,
Peter Buck,5,Quick & simple,My experience to date has been great.  Simple to install and use app.  A few reminders about topping up account.  Now all it needs to do is incubate
Annemarie,5,Atom Bank make App and online banking easy,Atom Bank make banking and saving on line so easy. The app is so people friendly it is a joy to use. Trust me I speak from bitter experience with other banks who shall remain nameless!
Rob Millray,5,Easy to open a fixed savings account…,Easy to open a fixed savings account with clear rules and competitive rates. App is easy to use and no nonsense like some of the high street banks.
Siobhan Shanley,5,Easy to open acc + great rates,Easy to set up versus several other savings accounts I have attempted to start an account with. Very straight forward and some of the best interest rates on the market.
jan owen,5,Easy Peasy!,Saw this through Martin Lewid and trust his advice so gave it a go. Set up a savings account very easy and smoothly. Would recommend.
Mike Skyrme,5,Up and Atom…,Very easy to set up and good app which is easy to use
Lisa,5,Really easy app,Really easy app. Easy to navigate. Very welcoming service.
Stephen Cosby,4,Simple process.,Simple process to rollover or remove funds.I would appreciate a few more days to decide rather than the 3 allowed at present.
Chris Smith,5,Easy,Easy to set up an account
Jillian Austin,5,Downloaded the app and commenced a…,Downloaded the app and commenced a fixed rate account. It was really easy to complete application and practically got a reply straight away. Had trouble with other banks paying money in but not with Atom very impressed so far Would highly recommend
Marcus Henson,5,Fantastic,"Fantastic, very clear guidince into putting your money into a top savings account"
BOB,5,Good communication,"Good communication, right amount of reminders and generally speaking very professional"
K.A,4,"Signed up, X2 account holder","Signed up, very easily. (By personal preference I would rather not use my voice as the passcode but needed to anyway.)Opened an instant (easy access) saver and a 1 year fixed saver at the beginning of this month. Both are very easy to use and have options to decide how long you want to store your money and how often interest is paid (monthly or yearly). I only have one other bank account so I don't know if multiple bank accounts can pay into the atom accounts but the atom accounts can only pay into one other account each.As I have only been using the app for a short while, I do not know how good the bank is when terminating an account but so far they have been great."
Bruce Robertson,5,Very easy process and user friendly…,Very easy process and user friendly experience in putting savings in a fixed rate online. Would recommend to any wouldbe investor.
Mr M,4,switch and earn some interest on your savings,"Decided to switch to a modern type of bank. Easy to set up a account and get interest on my savings.The app is far more secure than the older banks, I trust them with my savings.Still early days but all well at the moment"
Mr Dale SEXTON,5,By far the best interest rate today,By far the best interest rate at the time of writing. He application process was extremely simple and quick.  App is a doddle to use and understand
Johhn Waddington,5,A fresh air banking experience.,"The setting up and explanations involved in setting up my account were very easy to follow and the overall impression was of a well organised company and far away from the stuffy, old fashioned experiences of old."
Mr P Mallory,5,Easy to understand,"Easy to understand, easy to apply, easy to use app. Best savings rate available. Very happy!"
VJR,5,First Class Savings App,Easy to use once you set the account up in the app.Great savings interest rates!
Dp,5,Simple app and accessibility.products…,Simple app and accessibility.products are competitive.Clear communication from atom when fixed rate was coming to the end and clear options available.
Anthony Reynolds,5,Very easy to set up,"Very easy to set up, loads of security, money straight in on day, earning interest"
james gaffney,5,Easy,"Easy, efficient service . Good interest rates."
Jan Milton,5,So easy,"So easy, super fast"
Kevin Jones,5,very easy to set up,
Alison Gardner,4,Easy to set up accounts,"Easy to set up accounts. A bit of a faff having to use an outside account for transfer, rather than being able to transfer between Atom accounts"
Atholl Hutchison,5,Atoms App is clear and easy to use,"Atoms App is clear and easy to use. They advise you existing products are due to mature just at the right time, and offer competitive rates on Fixed term savings products"
Tim Jones,4,Easy to use App,Easy to use App. Most questions answered. Swift response.
Cheryl,5,Atom Bank highly recommended …,"Atom Bank had the highest interest rates for what I was looking for. Online banking was straight forward to open the account, everything explained, no problems at all. Very satisfied and would highly recommend"
Murray,5,Great App and bank good rates,
DIANE OLIVER,5,I’ve used Atom in the past and have…,"I’ve used Atom in the past and have always found it very user friendly, great rates and easy to check on your money!"
Simon haffenden,5,Experience with Atom,Just magnificent
Sarah Davis,5,Straightforward,Straightforward Good rate of interestUsed Atom Bank before
Tomasz S.,5,very efficient,excellent !!!!!!!!
Keith Thomas,5,The process from start to finish was so…,The process from start to finish was so simple. Atom came highly recommended by Martin Lewis and he was spot on.
Richard Penfold,5,Simple app which is comprehensive.,Simple app which is comprehensive.Fast response for sending and receiving funds
Stephen  Clarkson,5,Great Bank for fixed savings with the…,"Great Bank for fixed savings with the Best interest at time of opening , Highly recommend."
Liz Thomson,2,Terrible set up,Terrible set up procedure. Getting a selfie is difficult - nothing seems to please the app Meisters. I'd have given up has there been an alternative.
Andrew Marshall,5,Very simple to open this account and…,Very simple to open this account and the app is extremely well designed
Timothy Astill,5,Easy site use and good info,
Sarah Marshall,5,Extremely easy to open account,
Paul Whittley,5,Easy to open accounts,"Easy to open accounts, excellent interest rates."
Lisa Oxford,5,So far so good,So far so good. The most straightforward savings account I’ve opened. Linked to my accounts so just add money when I can. Took about 8 minutes to open.
Neil Hedderick,5,It was easy to set up,"It was easy to set up, plus very competitive rates of interest."
mike bishop,5,Simple to set up account,"Simple to set up account, to use the app, and plain explanations make it stress-free."
ROSEMARY,5,Very easy to sign up.,Very easy to sign up and use the App.Tried other of the new ones who made it complicated.
Helen Lewin,5,I was a bit hesitant about the no…,"I was a bit hesitant about the no branch scenario but then I thought to myself that I don’t go to the branch anyway. When I did set up my account it was very simple, and easy to access the app and statements. Let’s hope it stays easy!"
Roger Boot,5,Simple and straightforward set up and…,Simple and straightforward set up and easyto use.
John O'Mahoney,5,Very easy to open and operate accounts…,"Very easy to open and operate accounts online, with amongst best interest rates offered"
Mrs richards,5,Best interest rate to date,Very easy to open an account  extremely happy so far looking forward to watching my savings grow
Robert McMillen,5,So simple to create my new Instant…,"So simple to create my new Instant Saver account, plus a good rate and no limits on withdrawals unlike other options available elsewhere.I have another account with Atom, so I could log in, look at the other options available and open my new account online.No web chat or hanging on the phone waiting to speak to someone."
Tina Clair,5,All went extremely well from opening…,All went extremely well from opening account on mobile phone to depositing savings. App works a treat would highly recommend Atom.
Mr Rees,5,So easy,"Could not believe we could open 4 bank accounts in 10 minutes, just so easy"
AJOKE SONA,5,Excellent,The account opening is very easy and straightforward. The interest rate is a very great.
